English,Chinese
Bootstrap Aggregation,引导聚合
CASP,国际蛋白质结构预测竞赛
Cluster-Based Splitting,基于聚类的分离方法
Computational Optimisation,计算优化
Core-Loss Spectrum,（电子能量损失谱中的）高能区域
Cutoff Radial Function,截断径向函数
Data Dredging,数据挖掘
Data Reduction,数据缩减
Data-Driven Decision-Making,数据驱动的决策
Dendrogram,树状图
Dimensionality Reduction,降维
Dynamic Filter Networks,动态过滤网络
Energy Derivatives,能源衍生品
Evolutionary Method,进化方法
Extraction Techniques,提取技术
Feature Binarization,特征二值化
Final Evaluation,最终评估
Fuzzy Logic,模糊逻辑
General Intelligence,通用智能
Graph Models,图模型
Graphics Processing Units,图形处理器
High Throughput,高通量
Higher-Dimensional Space,高维空间
Hybrid Technique,混合技术
Image Classification,图像分类
Intermediate Neurons,中间神经元
Kendall’S Tau,肯德尔等级相关系数
LBP,局部二值模式
Local Recurrent,本地卷积
Mae,平均绝对误差
Mean-Squared Error,均方误差
Mining Out,挖掘
MLP Neural Model,多层感知机神经模型
Model-Based Iterative Reconstruction,基于模型的迭代重建
ms-QSBER-EL Model,基于人工神经网络组合的结构生物学效应定量关系多尺度模型
Multi-Reaction Synthesis,多反应合成
Nearest Neighbors,近邻
Neurons,神经元
Non-Parametric Algorithm,非参数化学习算法
On-The-Fly Optimization,运行中优化
Predictor,预测器/决策函数
Scaling,缩放
The Global Minimum,全局最小值
Workflow,工作流
